"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Emploi salarié en fin de trimestre - Construction - Hérault - Série arrêtée";"001737793";"";"18147";"18292";"18240";"18279";"18288";"18307";"18562";"18875";"19281";"19639";"20117";"19993";"20250";"20504";"20593";"20875";"21315";"21594";"22083";"22470";"22874";"23294";"23656";"24028";"24388";"24815";"24869";"24773";"24336";"23849";"23592";"23498";"23367";"23144";"23100";"23061";"22627";"22702";"22551";"22333";"22240";"22047";"21772";"21428";"21129";"20995";"20729";"20655";"20413";"20195";"20024";"19893";"19898";"19942";"19899";"19819";"19841";"19749";"19778";"19917";"20023";"20311";"20523";"20690";"20982";"21357";"21407";"21579";"21761";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Ille-et-Vilaine - Série arrêtée";"001737794";"";"20990";"21124";"21228";"21351";"21436";"21544";"21631";"21721";"22031";"22135";"22318";"22389";"22466";"22630";"22933";"23252";"23663";"24159";"24277";"24832";"25110";"25449";"25747";"26001";"26133";"26418";"26393";"26509";"26478";"26107";"25939";"25674";"25516";"25458";"25430";"25201";"25225";"25412";"25381";"25542";"25540";"25462";"25543";"25457";"25416";"25317";"25236";"25301";"25140";"24951";"24817";"24544";"24449";"24374";"24147";"24192";"24157";"24190";"24109";"24022";"23960";"24250";"24574";"24443";"24708";"24733";"24838";"25014";"25163";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Indre - Série arrêtée";"001737795";"";"4771";"4737";"4766";"4781";"4799";"4736";"4854";"4880";"4766";"4882";"4843";"4785";"4790";"4835";"4813";"4879";"4925";"4862";"4931";"5011";"5081";"5197";"5222";"5248";"5269";"5291";"5255";"5223";"5220";"5172";"5160";"5097";"5037";"5038";"5004";"4926";"4830";"4723";"4685";"4728";"4653";"4538";"4543";"4558";"4573";"4552";"4477";"4364";"4295";"4301";"4267";"4186";"4088";"3996";"3901";"3835";"3849";"3765";"3730";"3684";"3632";"3663";"3653";"3650";"3659";"3634";"3632";"3604";"3557";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Indre-et-Loire - Série arrêtée";"001737796";"";"13379";"13188";"13305";"13436";"13463";"13851";"13865";"13945";"13870";"13882";"13889";"13937";"14117";"14292";"14372";"14431";"14645";"14865";"15223";"15332";"15551";"15681";"15790";"16076";"16193";"16155";"16288";"16282";"16078";"16010";"15908";"15830";"15720";"15887";"15763";"15717";"15660";"15387";"15344";"15188";"15219";"15333";"15381";"15321";"15227";"15102";"14962";"14899";"14743";"14620";"14437";"14402";"14343";"14209";"14054";"13855";"13821";"13716";"13688";"13621";"13516";"13571";"13576";"13539";"13643";"13603";"13755";"13893";"13927";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Isère - Série arrêtée";"001737797";"";"23665";"23699";"23554";"23748";"23948";"24050";"23972";"24159";"24471";"24784";"25152";"25290";"25354";"25744";"26059";"26383";"26630";"26887";"27269";"27403";"27615";"27890";"28245";"28686";"29111";"29032";"28594";"28925";"28841";"28747";"28599";"28394";"28131";"28192";"28308";"28201";"28024";"28276";"28339";"28172";"28201";"28065";"27894";"27993";"27898";"27563";"27612";"27596";"27631";"27689";"27540";"27392";"27114";"26824";"26627";"26447";"26576";"26607";"26624";"26635";"26216";"26201";"26130";"25961";"26080";"26405";"26386";"26499";"26579";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Jura - Série arrêtée";"001737798";"";"5327";"5353";"5292";"5321";"5322";"5356";"5384";"5327";"5344";"5388";"5400";"5399";"5429";"5425";"5477";"5584";"5629";"5659";"5673";"5675";"5735";"5760";"5828";"5938";"5977";"6026";"6104";"6131";"5897";"5837";"5805";"5742";"5693";"5688";"5630";"5663";"5657";"5666";"5636";"5557";"5506";"5494";"5416";"5397";"5309";"5211";"5243";"5219";"5136";"5223";"5151";"5114";"5094";"5027";"4999";"4990";"5009";"5020";"4977";"4950";"4941";"4954";"5018";"4979";"4971";"4986";"4987";"5042";"5011";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Landes - Série arrêtée";"001737799";"";"7311";"7311";"7231";"7318";"7362";"7303";"7419";"7468";"7469";"7525";"7554";"7601";"7701";"7759";"7876";"7941";"8046";"8203";"8299";"8400";"8517";"8617";"8564";"8656";"8766";"8759";"8841";"8820";"8762";"8681";"8719";"8669";"8584";"8596";"8535";"8576";"8574";"8560";"8529";"8520";"8431";"8463";"8407";"8352";"8315";"8249";"8189";"8134";"8088";"8078";"8003";"7943";"7747";"7619";"7607";"7568";"7485";"7440";"7395";"7322";"7385";"7389";"7499";"7510";"7574";"7644";"7663";"7685";"7712";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Loir-et-Cher - Série arrêtée";"001737800";"";"7548";"7654";"7433";"7497";"7457";"7432";"7423";"7541";"7530";"7536";"7601";"7615";"7689";"7784";"7848";"7894";"8024";"8134";"8218";"8252";"8338";"8392";"8416";"8535";"8568";"8581";"8599";"8580";"8437";"8336";"8270";"8168";"8138";"8076";"8071";"8083";"8095";"8143";"8009";"7932";"7909";"7860";"7823";"7732";"7656";"7508";"7536";"7414";"7296";"7259";"7142";"7005";"6880";"6721";"6604";"6565";"6497";"6434";"6366";"6321";"6259";"6262";"6249";"6209";"6251";"6304";"6329";"6373";"6306";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Loire - Série arrêtée";"001737826";"";"15890";"15931";"15976";"15991";"15837";"15833";"15768";"15732";"15789";"15869";"15967";"16066";"16168";"16288";"16447";"16702";"16943";"17229";"17517";"17752";"18055";"18365";"18508";"18644";"18714";"18304";"18556";"18693";"18667";"18522";"18562";"18399";"18300";"18104";"18007";"18108";"17903";"17835";"17735";"17640";"17681";"17806";"17789";"17742";"17707";"17589";"17397";"17385";"17353";"17219";"17082";"16869";"16557";"16327";"16130";"15982";"15927";"15892";"15842";"15745";"15625";"15603";"15773";"15703";"15760";"15777";"15752";"15844";"15869";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Haute-Loire - Série arrêtée";"001737827";"";"4368";"4325";"4333";"4422";"4378";"4413";"4396";"4352";"4419";"4456";"4466";"4534";"4562";"4586";"4663";"4689";"4754";"4735";"4820";"4884";"4919";"5010";"5032";"5073";"5140";"5166";"5175";"5204";"5153";"5165";"5262";"5212";"5201";"5205";"5123";"5139";"5222";"5191";"5141";"5093";"5106";"5020";"5169";"5145";"5017";"4980";"4906";"4939";"4882";"4924";"4874";"4777";"4761";"4643";"4579";"4539";"4553";"4542";"4548";"4538";"4468";"4521";"4516";"4523";"4532";"4516";"4462";"4411";"4474";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Loire-Atlantique - Série arrêtée";"001737828";"";"27708";"27849";"27908";"28268";"28278";"28125";"28250";"28254";"28540";"28886";"29129";"29038";"29557";"29566";"29957";"30333";"30798";"31518";"31794";"32257";"32795";"33713";"33717";"34343";"34632";"35026";"35748";"35715";"36048";"35561";"35354";"35465";"35361";"35091";"35379";"35442";"35553";"35745";"35643";"35479";"35375";"35644";"35207";"35181";"34964";"34976";"34718";"34710";"34437";"34182";"34076";"33837";"33548";"33245";"33137";"33102";"32911";"32929";"32925";"32778";"32972";"33286";"33464";"33630";"34150";"34084";"34332";"34560";"34688";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Loiret - Série arrêtée";"001737829";"";"15000";"14905";"15066";"14944";"15219";"14965";"14758";"14958";"15039";"15256";"15328";"15348";"15321";"15558";"15668";"15657";"15808";"15958";"16130";"16123";"16321";"16298";"16467";"16743";"16845";"16999";"17120";"17265";"17304";"17151";"16984";"16734";"16718";"16814";"16847";"17048";"16976";"16970";"16935";"17091";"17056";"17085";"16978";"16897";"16784";"16584";"16636";"16571";"16440";"16331";"16286";"16037";"15735";"15650";"15432";"15104";"15047";"14914";"14763";"14705";"14680";"14683";"14682";"14681";"14735";"14840";"14830";"14763";"14770";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Lot - Série arrêtée";"001737830";"";"3096";"3094";"3072";"3075";"3124";"3142";"3187";"3250";"3250";"3340";"3383";"3330";"3419";"3461";"3485";"3527";"3559";"3640";"3688";"3693";"3740";"3729";"3751";"3782";"3789";"3809";"3809";"3844";"3818";"3736";"3694";"3714";"3685";"3677";"3663";"3643";"3622";"3671";"3689";"3637";"3643";"3550";"3544";"3466";"3367";"3343";"3311";"3343";"3337";"3310";"3247";"3180";"3167";"3126";"3126";"3060";"3063";"3021";"3018";"3019";"2973";"2984";"2998";"2995";"3026";"3048";"3021";"3019";"3034";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Lot-et-Garonne - Série arrêtée";"001737831";"";"6042";"6006";"6006";"6063";"6102";"6112";"6165";"6180";"6254";"6305";"6325";"6397";"6437";"6545";"6678";"6769";"6880";"6999";"7061";"7179";"7175";"7243";"7322";"7364";"7456";"7516";"7490";"7380";"7330";"7195";"7043";"7001";"6898";"6758";"6830";"6786";"6802";"6860";"6854";"6885";"6852";"6851";"6766";"6685";"6635";"6504";"6467";"6411";"6351";"6307";"6253";"6191";"6082";"6012";"5938";"5848";"5834";"5772";"5786";"5807";"5662";"5670";"5616";"5630";"5669";"5717";"5752";"5734";"5780";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Lozère - Série arrêtée";"001737832";"";"2075";"2006";"1944";"1938";"1979";"2010";"2002";"1995";"1983";"2042";"2070";"2075";"2091";"2004";"1959";"2016";"1995";"1988";"2026";"2015";"1996";"2030";"2043";"2038";"2056";"2043";"2044";"1990";"1995";"2034";"1993";"2043";"2053";"2060";"2067";"2044";"2021";"2007";"1982";"2015";"2012";"1997";"2026";"2018";"1997";"1983";"1977";"1979";"1976";"1979";"1938";"1867";"1870";"1836";"1809";"1784";"1777";"1752";"1741";"1756";"1721";"1743";"1722";"1699";"1661";"1641";"1655";"1617";"1633";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Maine-et-Loire - Série arrêtée";"001737833";"";"16866";"16876";"16884";"17075";"17126";"17174";"17268";"17358";"17510";"17693";"17754";"17805";"17841";"18086";"18138";"18407";"18735";"18956";"19214";"19471";"19651";"19730";"19875";"20106";"20348";"20875";"21047";"21027";"20939";"20966";"20940";"20786";"20690";"20573";"20572";"20606";"20530";"20473";"20344";"20214";"20235";"19906";"19689";"19412";"19254";"19413";"19063";"18877";"18293";"18238";"17991";"17775";"17517";"17118";"16999";"16947";"16872";"16888";"16864";"16730";"16574";"16399";"16470";"16461";"16626";"16592";"16626";"16456";"16509";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Manche - Série arrêtée";"001737834";"";"12232";"12476";"12503";"12359";"12332";"12279";"12348";"12423";"12474";"12502";"12475";"12561";"12564";"12546";"12760";"12844";"13065";"13195";"13264";"13410";"13532";"13793";"13815";"13918";"14033";"14030";"14025";"14069";"14022";"13971";"14153";"14053";"13958";"13901";"13755";"14064";"13691";"13600";"13508";"13423";"13580";"13531";"13538";"13528";"13244";"13145";"13081";"13045";"12937";"12979";"12916";"12725";"12673";"12527";"12440";"12405";"12347";"12246";"12212";"12062";"12051";"12126";"12132";"12196";"12158";"12065";"12046";"12044";"12081";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Marne - Série arrêtée";"001737835";"";"11871";"11856";"11786";"11722";"11674";"11674";"11686";"11738";"11786";"11791";"11801";"11821";"11793";"11830";"11891";"11935";"11993";"12015";"12188";"12227";"12388";"12561";"12624";"12633";"12798";"12956";"13022";"13136";"12980";"12846";"12758";"12691";"12701";"12542";"12507";"12549";"12646";"12680";"12671";"12569";"12436";"12563";"12445";"12340";"12255";"12124";"12025";"12002";"11886";"11801";"11694";"11564";"11422";"11292";"11242";"11240";"11259";"11255";"11269";"11172";"11123";"11260";"11282";"11314";"11387";"11403";"11411";"11507";"11548";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Haute-Marne - Série arrêtée";"001737836";"";"3531";"3464";"3435";"3456";"3449";"3467";"3479";"3490";"3506";"3556";"3549";"3520";"3540";"3528";"3613";"3671";"3722";"3731";"3753";"3761";"3724";"3729";"3733";"3732";"3819";"3862";"3851";"3886";"3824";"3746";"3713";"3719";"3647";"3620";"3676";"3606";"3619";"3621";"3608";"3567";"3602";"3619";"3544";"3532";"3493";"3460";"3394";"3362";"3301";"3254";"3243";"3184";"3139";"3099";"3082";"3029";"2997";"2960";"2905";"2904";"2875";"2913";"2897";"2882";"2897";"2837";"2861";"2825";"2828";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Mayenne - Série arrêtée";"001737837";"";"7168";"7236";"7232";"7351";"7346";"7304";"7368";"7292";"7386";"7460";"7478";"7512";"7505";"7494";"7670";"7666";"7753";"7877";"7963";"8097";"8198";"8261";"8239";"8265";"8318";"8322";"8282";"8227";"8115";"8207";"8229";"8201";"8152";"8068";"8115";"8119";"8044";"7856";"8018";"7942";"8013";"8010";"7916";"7984";"7942";"7951";"7889";"7779";"7691";"7656";"7570";"7467";"7424";"7285";"7238";"7187";"7157";"7152";"7183";"7124";"7032";"7004";"6977";"6948";"6959";"6967";"6946";"6874";"6975";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Meurthe-et-Moselle - Série arrêtée";"001737838";"";"13742";"13780";"13829";"13729";"13690";"13752";"13688";"13640";"13699";"13568";"13731";"13745";"13762";"13708";"13785";"13864";"13907";"14108";"14084";"14287";"14525";"14617";"14732";"15043";"15146";"15373";"15394";"15404";"15298";"15070";"14988";"14801";"14586";"14828";"14696";"14483";"14422";"14350";"14303";"14077";"14148";"14053";"14034";"14032";"13867";"13745";"13559";"13532";"13389";"13114";"12913";"12776";"12654";"12560";"12449";"12240";"12097";"12114";"11853";"11820";"11642";"11655";"11757";"11814";"11860";"11922";"11909";"11879";"12049";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Meuse - Série arrêtée";"001737839";"";"3812";"3900";"3805";"3805";"3790";"3809";"3815";"3822";"3894";"3836";"3837";"3805";"3812";"3807";"3835";"3869";"3879";"3918";"3925";"3968";"3953";"3935";"3905";"3905";"4020";"3973";"4042";"4036";"3982";"3816";"3918";"3631";"3660";"3727";"3756";"3725";"3726";"3694";"3627";"3609";"3539";"3511";"3549";"3523";"3520";"3506";"3446";"3459";"3414";"3360";"3320";"3271";"3257";"3205";"3152";"3135";"3124";"3110";"3096";"3093";"3010";"3050";"3042";"3021";"3048";"3034";"3026";"3043";"3039";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Morbihan - Série arrêtée";"001737840";"";"15491";"15327";"15297";"15522";"15644";"15629";"15623";"15525";"15539";"15721";"15873";"15960";"16079";"16356";"16527";"16798";"17133";"17240";"17510";"17677";"17963";"18155";"18304";"18581";"18719";"18998";"18945";"19059";"18963";"18934";"18418";"18349";"18226";"18116";"18216";"18191";"18316";"18666";"18338";"18245";"18126";"18121";"17929";"17755";"17734";"17517";"17383";"17225";"16991";"16831";"16715";"16562";"16345";"16274";"16101";"16021";"16063";"16024";"16056";"16016";"15948";"15947";"15967";"15972";"16156";"16272";"16300";"16315";"16364";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Moselle - Série arrêtée";"001737841";"";"22307";"22272";"22158";"22128";"21915";"21989";"21430";"21358";"21344";"21256";"21150";"21131";"21160";"21245";"21429";"21496";"21824";"21918";"22247";"22436";"22533";"22726";"22800";"23059";"23242";"23393";"23665";"23522";"23063";"22648";"22274";"21969";"21965";"21680";"21276";"21243";"21236";"21314";"21298";"21221";"21099";"21171";"21165";"20994";"20794";"20404";"20322";"20292";"20189";"20059";"19815";"19241";"19095";"18849";"18608";"18480";"18327";"18144";"18047";"17831";"17649";"17969";"17850";"17875";"17944";"18084";"18058";"17894";"17892";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Nièvre - Série arrêtée";"001737842";"";"4194";"4133";"4159";"4121";"4136";"4108";"4144";"4133";"4110";"4157";"4121";"4173";"4212";"4225";"4264";"4332";"4322";"4426";"4471";"4399";"4507";"4526";"4582";"4638";"4696";"4708";"4686";"4689";"4613";"4588";"4504";"4418";"4382";"4320";"4299";"4248";"4185";"4079";"4134";"4080";"4045";"3945";"3846";"3830";"3760";"3727";"3682";"3605";"3508";"3438";"3399";"3316";"3280";"3292";"3199";"3143";"3164";"3120";"3080";"3061";"2997";"2996";"3023";"2958";"2984";"2993";"2994";"3009";"2997";"";""
